Job Title,Company Name,Location,Description,Salary,MetaData,Posting
Senior Software Engineer,Anterior,"New York, NY","  You have expertise in multi-cloud environments, including Azure, AWS and on-premises solutions, and can navigate complex cloud architectures. ·More...",,"$96,600 - $220,000 a year",
Senior Embedded Software Engineer,"NAPCO Security Technologies, Inc.","Amityville, NY 11701",  Embedded software: 1 year (Preferred).  Solid 8+ years of experience designing software for microprocessor-based products.  Experience with IDE’s such as IAR. EmployerActive 6 days ago·More...,,"$96,600 - $220,000 a year",Active 6 days ago
Senior Software Engineer - Machine Learning,Apple,"New York, NY","  Apple employees are eligible for discretionary restricted stock unit awards, and can purchase Apple stock at a discount if voluntarily participating in Apple’s… ·More...",,"$96,600 - $220,000 a year",
Software Engineer,Goliath Partners,"Hybrid work in New York, NY",  Work involvement includes developing/ optimizing algorithms and latency software engineering.  2-4 Years of Experience in C++ Development. ·More...,,"$96,600 - $220,000 a year",
Wealth Management-New York-Associate-Software Engineering,Goldman Sachs,"New York, NY 10282 (Battery Park area)","  Our advisor-led wealth management businesses provide financial planning, investment management, banking and comprehensive advice to a wide range of clients,… ·More...",,"$96,600 - $220,000 a year",
Software Developer,Eaton,"Hybrid work in Orchard Park, NY",  Demonstrated experience with all aspects of project life cycle.  Manage rolling releases of software in order to ensure compliance with changing requirements. ·More...,,"$96,600 - $220,000 a year",
Software Engineer,Savvy Wealth,"New York, NY","  Access to virtual mental health care (Spring Health), vision related benefits (XP Health), and health concierge (Rightway) to help you find the right care. ·More...",,"$96,600 - $220,000 a year",
Staff Infrastructure Software Engineer,Via,"New York, NY","  Actively participate in day-to-day production operations alongside research and development, implementing real changes in production systems and directly… ·More...",,"$96,600 - $220,000 a year",
"Software Engineer II, Core Media Manufacturing",Disney Entertainment & ESPN Technology,"New York, NY","  3+ years (1+ with MS degree) software development industry experience.  We build logic across players and back-end services to measure, control, and optimize… ·More...",,"$96,600 - $220,000 a year",
Staff Software Engineer (Backend),Ploomber,"New York, NY 10014","  Maintain our cloud platform (performance optimization, bug fixes, database migrations).  4+ years of experience contributing to the architecture and design of… ·More...",,"$96,600 - $220,000 a year",
Staff Software Engineer - Incident Management,PagerDuty,"Remote in New York, NY","  From day one, you'll be designing, coding, testing and shipping front-end interfaces, APIs, or backend applications and microservices that ensure we deliver… ·More...",,"$96,600 - $220,000 a year",
Sr Software Engineer,Disney Entertainment & ESPN Technology,"New York, NY","  5+ years of software development experience.  Ownership of UI/UX framework components, libraries, and design for various cache control plane products. ·More...",,"$96,600 - $220,000 a year",
software engineer jobs in New York State,,,,,,
"Software Development Engineer, CloudFormation Policy as Code","Amazon Web Services, Inc.","New York, NY","- 3+ years of non-internship professional software development experience - 2+ years of non-internship design or architecture (design patterns, reliability…·More...",,"$129,300 - $223,600 a year",
Software Engineer II - Courier Pricing,Uber,"New York, NY","About the Role This role is on the Courier Pricing team within the Marketplace organization. As a Software Engineer II on the Courier Pricing team, you will…·More...",,"$129,300 - $223,600 a year",
"Staff Software Engineer, Machine Learning, Google Assistant",Google,"New York, NY (Chelsea area)","Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Mountain View, CA, USA; New York,…·More...",,"$129,300 - $223,600 a year",
"Senior Software Engineer, Reporting",Asana,"Hybrid work in New York, NY",The Product team builds features end-to-end. From designing our data models to implementing the subtle interaction behaviors that differentiate good software…·More...,,"$129,300 - $223,600 a year",
Software Quality Engineer,TTM Technologies,"Farmingdale, NY","TTM Technologies, Inc. – Publicly Traded US Company, NASDAQ (TTMI) – Top-5 Global Printed Circuit Board Manufacturer About TTM TTM Technologies, Inc. is a…·More...",,"$129,300 - $223,600 a year",
Software Engineer II,Wheels Up,"New York, NY 10001 (Chelsea area)",Overview: About Wheels Up Wheels Up is a leading provider of on-demand private aviation and one of the largest companies in the industry. Wheels Up offers a…·More...,,"$129,300 - $223,600 a year",
Lead Software Engineer,Disney Entertainment & ESPN Technology,"New York, NY","Disney Entertainment & ESPN Technology On any given day at Disney Entertainment & ESPN Technology, we’re reimagining ways to create magical viewing…·More...",,"$129,300 - $223,600 a year",
"Software Engineer, Senior",Booz Allen,"Rome, NY","Software Engineer, Senior The Opportunity: As a back-end developer, you know that a good site or system needs the right combination of clean code, APIs,…·More...",,"$129,300 - $223,600 a year",
"Back-End Engineer, ETF Engineering, Associate",BlackRock Investments,"Hybrid work in New York, NY",Job description About this role About this Role: Are you interested in building innovative technology that shapes the financial markets? Do you like…·More...,,"$129,300 - $223,600 a year",
Staff Software Engineer - AAA OMG,Datadog,"Hybrid work in New York, NY",Datadog is seeking an experienced Staff Engineer to join our AAA team. We are looking for a Staff Engineer to help build out our area around Org Management…·More...,,"$129,300 - $223,600 a year",
Engineer - NodeJS Backend Engineer - Lounge Services,Amex,"Hybrid work in New York, NY","You Lead the Way. We’ve Got Your Back. With the right backing, people and businesses have the power to progress in incredible ways. When you join Team Amex,…·More...",,"$129,300 - $223,600 a year",
Senior Software Engineer,Microsoft,"Remote in New York, NY","Microsoft is looking for a Senior Software Engineer to join the System Operations team, part of Xandr’s Real Time Bidding platform. The platform operates a…·More...",,"$129,300 - $223,600 a year",
iOS Software Engineer,GameChanger,"Remote in New York, NY","About GameChanger: We believe in the life-changing impact youth sports have on and off the field because they encourage leadership, teamwork, responsibility,…·More...",,"$129,300 - $223,600 a year",
Software Engineer (Growth),Healthie,"Hybrid work in New York, NY 10013",*This position is located in our New York City HQ and requires a hybrid work schedule Our mission: Healthie powers virtual-first care delivery while…·More...,,"$129,300 - $223,600 a year",
Senior Backend Engineer,Arrow Search Partners,"Remote in New York, NY",About the Company: Our client is a social media tech firm with a team of 40+ people globally and currently has Series B funding. They are seeking a Senior…·More...,,"$129,300 - $223,600 a year",
software engineer jobs in New York State,,,,,,
iOS Software Engineer,GameChanger,"Remote in New York, NY","  3-5 years of experience in iOS mobile app development.  Engineer robust software solutions with a strong emphasis on high-quality development standards, ensuring… ·More...",,$31.55 - $63.15 an hour,
Software Engineer (Growth),Healthie,"Hybrid work in New York, NY 10013","  The ideal candidate has experience with Ruby on Rails and React, along with practical and direct experience implementing third-party integrations (ideally… ·More...",,$31.55 - $63.15 an hour,
Senior Backend Engineer,Arrow Search Partners,"Remote in New York, NY","  Experience in designing complex and highly scalable software architecture.  Proficient programming capabilities in any backend language, ideally NodeJS or open… ·More...",,$31.55 - $63.15 an hour,
Senior Software Engineer,"BN, an Augeo company",Hybrid work in New York State,"  We develop innovative software solutions and look for others who like to dive deep into code, integrate with the latest social platforms, and help solve hard… ·More...",,$31.55 - $63.15 an hour,
Software Developer,Umanist Staffing,"White Plains, NY","  Develop, test, and maintain software applications according to project requirements.  2+ years of professional software development experience. ·More...",,$31.55 - $63.15 an hour,
Software Engineer,The New York Stem Cell Foundation Research...,"New York, NY","  Strong background in C# (4+ years) and experience using relational databases, stored procedures, and Entity Framework.  Experience with WinForms and VB.Net. ·More...",,$31.55 - $63.15 an hour,
"Field Service Automation Engineer (NY, NY)",Abbott Laboratories,"New York, NY",  Partner with Enterprise Account Manager and/or Sales Executive to develop account-specific lab strategy and execution throughout commercial cycle and… ·More...,,$31.55 - $63.15 an hour,
"Software Engineer, Senior",Zebra Technologies,"Hybrid work in Holtsville, NY","  We are seeking a software engineer to analyze, develop, design, and maintain software for Zebra's products and systems.  Android and Java experience REQUIRED. ·More...",,$31.55 - $63.15 an hour,
Software Engineer II (Back-end Java),JPMorganChase,"New York, NY 10001","  Demonstrated knowledge of software applications and technical processes within a technical discipline (e.g., cloud, artificial intelligence, machine learning,… ·More...",,$31.55 - $63.15 an hour,
"GBM, Listed Clearing Engineering, Full Stack Software Engineer, Associate, New York City",Goldman Sachs,"New York, NY 10282 (Battery Park area)","  Join our engineering teams that build massively scalable software and systems, architect low latency infrastructure solutions, proactively guard against cyber… ·More...",,$31.55 - $63.15 an hour,
Software Engineer,Brisk Teaching,"New York, NY",  Software Engineering Experience: At least 5-7 years in the field.  Full-stack Development: Implement front-end interfaces using React and develop back-end… ·More...,,$31.55 - $63.15 an hour,
Automation Software Installation Engineer,Intone Networks,"Buffalo, NY","  Provide knowledge of the following automaton tools and Operating Systems: Microsoft SCCM as it pertains to software delivery and monitoring, Installshield,… ·More...",,$31.55 - $63.15 an hour,
Senior Software Engineer 2 - Platform,The Farmer's Dog,"New York, NY","  You are either a senior software engineer with experience in web operations, or a senior engineer working in a web operations role with software engineering… ·More...",,$31.55 - $63.15 an hour,
Principal Software Engineer,Genentech,"New York, NY 10001",  1+ years experience leading a team of software engineers.  5 + years of software engineering work experience.  You will work closely with Prescient scientists and… ·More...,,$31.55 - $63.15 an hour,
Asset & Wealth Management -Software Engineer - Vice President - New York,Goldman Sachs,"New York, NY 10282 (Battery Park area)","  We're looking for strong full-time software engineer who is.  A summary of these offerings, which are generally available to active, non-temporary, full-time and… ·More...",,$31.55 - $63.15 an hour,
software engineer jobs in New York State,,,,,,
,,,,,,
Staff Software Engineer - Ads Manager,Uber,"New York, NY","  10+ years of software development experience.  Strong programming skills in languages such as Go, Java, Python, or similar. ·More...",,"$218,000 - $242,000 a year",
Software Engineer,Candid,"New York, NY","  Understanding of Agile programming techniques, the development life cycle and testing procedures preferred.  Candid is looking for a long-term software engineer… ·More...",,"$218,000 - $242,000 a year",
Ecosystems Software Engineer,Candid,"New York, NY",  Practice Agile software development methodologies.  Candid is looking for a long-term software engineer with experience building and maintaining modern internal… ·More...,,"$218,000 - $242,000 a year",
C++ Software Engineer - Trading applications,Talan,"New York, NY",  Manage the software build and release process.  Develop scripts to build and deploy software releases.  8 paid holidays + 5 sick days + 2 personal days per year. EmployerActive 4 days ago·More...,,"$218,000 - $242,000 a year",Active 4 days ago
"Specialist, Audio Software Engineer 1",L3Harris Technologies,"Rochester, NY","  Responsible for research, design, and development of embedded software for software defined radio products.  This is not a guarantee of compensation or salary,… ·More...",,"$218,000 - $242,000 a year",
