Job Title,Company Name,Location,Description,Salary,MetaData,Posting
Full Stack Developer,KWI,"Melville, NY 11747",Description The Opportunity We are seeking an experienced Full Stack Developer proficient with React.js. The primary focus of the role is to drive the…·More...,,"$103,000 - $206,000 a year",
Mid-level Back-end PHP Developer,ConveyThis,"New York, NY 10004 (Financial District area)","Company Overview Translation Cloud is a leading SaaS company specializing in innovative translation software for documents, websites, and audio/video…EmployerActive 5 days ago·More...",,"$103,000 - $206,000 a year",Active 5 days ago
Software Engineer,PRADCO,"Grand Island, NY 14072","A Software Engineer job in Buffalo, NY is currently available through PRADCO at our Fortune 500 manufacturing client. You will be responsible for software…EmployerActive 4 days ago·More...",,"$103,000 - $206,000 a year",Active 4 days ago
Senior Embedded Software Engineer,"NAPCO Security Technologies, Inc.","Amityville, NY 11701","Company Overview NAPCO Security Technologies, a world-wide leader in the manufacturing of electronic security systems for over 40 years, headquartered in…EmployerActive 6 days ago·More...",,"$103,000 - $206,000 a year",Active 6 days ago
"Technology- Software Development, Summer Analyst, New York City/ Jersey City 2025",Citi,"New York, NY","You are the brains behind our work … At Citi, we do not just adapt to change – we drive it. Our Summer Technology Analyst Program is where forward thinking…·More...",,"$103,000 - $206,000 a year",
Senior Software Developer,Goliath Partners,"New York, NY","New York $500,000 - $600,000 Permanent One of our top clients, a top Prop Shop is looking to hire an experienced C++ Developer. Role: Designing the trading…·More...",,"$103,000 - $206,000 a year",
software developer jobs in New York State,,,,,,
Staff Software Engineer - Incident Management,PagerDuty,"Remote in New York, NY","  You will utilize best practices in software engineering to architect, code, test, and deploy high-quality solutions that meet customer requirements and adhere… ·More...",,"$176,000 - $281,000 a year",
"GBM, Listed Clearing Engineering, Full Stack Software Engineer, Associate, New York City",Goldman Sachs,"New York, NY 10282 (Battery Park area)",  You will be expected to implement and suggest best development practices/methodologies to deliver high quality software throughout the development stack. ·More...,,"$176,000 - $281,000 a year",
"Software Engineer III, Front End, Google Cloud Platforms",Google,"New York, NY (Chelsea area)","  Proficiency in code and system health, diagnosis and resolution, and software test engineering.  Google's software engineers develop the next-generation… ·More...",,"$176,000 - $281,000 a year",
Senior Software Engineer,Anterior,"New York, NY","  You possess deep knowledge and understanding of software engineering best practices, supported by either a robust academic background in the field or extensive… ·More...",,"$176,000 - $281,000 a year",
DevOps / Release Management,Avant Tech,"New York, NY",  Demonstrates working knowledge of software version control and release management required.  Work closely with internal and external teams to understand business… ·More...,,"$176,000 - $281,000 a year",
Senior Software Developer (C++),FlexTrade,"Great Neck, NY 11021",  This team is responsible for integration of FlexTrade’s software products with those of its clients and external bank/vendor systems. EmployerActive 7 days ago·More...,,"$176,000 - $281,000 a year",Active 7 days ago
"Software Engineer II, Core Media Manufacturing",Disney Entertainment & ESPN Technology,"New York, NY","  3+ years (1+ with MS degree) software development industry experience.  Develop a highly functional understanding of Disney Streaming’s VOD workflows, the… ·More...",,"$176,000 - $281,000 a year",
Senior Software Engineer,Disney Entertainment & ESPN Technology,"New York, NY",  5+ years experience in software engineering.  Proven track record at a senior software engineering level.  Design and implement solutions for new features which… ·More...,,"$176,000 - $281,000 a year",
"C# Developer, Equities","Jefferies & Company, Inc.","New York, NY","  They should have experience and understanding of best practice hands on software development across the technology stack.  NET, SQL Server and Kafka. ·More...",,"$176,000 - $281,000 a year",
Software Engineer,Goliath Partners,"New York, NY",  Develop applications (risk/ modeling etc) for portfolio managers in Python.  Assist in developing platform architecture and infrastructure. ·More...,,"$176,000 - $281,000 a year",
"Staff Software Engineer, Machine Learning, Google Assistant",Google,"New York, NY (Chelsea area)","  5 years of experience testing, and launching software products, and 3 years of experience with software design and architecture. ·More...",,"$176,000 - $281,000 a year",
Biomedical Software Developer - Biomedical Engineering & Imaging Institute,Mount Sinai,"New York, NY 10029","  Software Engineering Culture: Contribute to a professional software engineering culture, including participation in code reviews, mentoring junior developers,… ·More...",,"$176,000 - $281,000 a year",
Staff Software Engineer - AI/ML,Axomic,"Hybrid work in New York, NY 10018","  We have an in-office requirement of 2 days per week for local employees.  You’ll help establish the team’s strategic vision, processes, and best practices. ·More...",,"$176,000 - $281,000 a year",
Database Developer,KPH Healthcare Services,"East Syracuse, NY 13057","  Experience working with a team of developers and business users.  Work closely with other developers, database administrators, and business teams to ensure the… ·More...",,"$176,000 - $281,000 a year",
Staff Software Engineer - Grocery Consumer Experience (UberEats),Uber,"New York, NY","  Grocery and Retail Consumer experience org is responsible for ensuring seamless, relevant and magical experience for our consumers on UberEats App globally. ·More...",,"$176,000 - $281,000 a year",
software developer jobs in New York State,,,,,,
"Software Engineer II, Backend, Marketplace and Pricing (multiple teams hiring)",Uber,"New York, NY","  Design, develop, and maintain robust and scalable software solutions.  Stay up-to-date with the latest technologies and industry trends, evaluating their… ·More...",,"$158,000 - $175,500 a year",
MERMAID Front End React.js Developer,Wildlife Conservation Society,"Bronx Zoo, NY","  3-5 years of experience, including demonstrated portfolio of software the candidate has produced, ideally with access to code. ·More...",,"$158,000 - $175,500 a year",
Software Engineer,FONAR Corporation,"Melville, NY 11747",  Experience developing Windows application software using Visual Studio and.  Develop application software for our medical products and research projects. EmployerActive 4 days ago·More...,,"$158,000 - $175,500 a year",Active 4 days ago
Power App Developer,Umanist Staffing,"White Plains, NY",  Work alongside developers and business analysts to convert business requirements into technical specifications.  Excellent problem-solving and analytical skills. ·More...,,"$158,000 - $175,500 a year",
Backend Engineer (Early Career),Accrete.AI,"New York, NY","  We specialize in creating advanced AI solutions that turn complex data into actionable insights, driving real-world impact for businesses and government… ·More...",,"$158,000 - $175,500 a year",
Python Software Developer - 1312,Bhired,"Brooklyn, NY","  Full time Python Software Developer - 1312.  A ticketing company in Flatbush, NY, is seeking a Python Software Developer to build and maintain technology for… ·More...",,"$158,000 - $175,500 a year",
Python Developer,TSG Risk Management,"New York, NY",  Developing back-end components to improve responsiveness and overall performance.  Integrating user-facing elements into applications. ·More...,,"$158,000 - $175,500 a year",
Software Engineer II,Disney Entertainment & ESPN Technology,"New York, NY",  Efficiently supports software throughout the lifecycle.  Participates in the code review to gain validated understanding of the fundamental knowledge of software… ·More...,,"$158,000 - $175,500 a year",
Software Engineer_IT,Versant Health,"Remote in Albany, NY","  Develop and maintain software documentation in accordance with software lifecycle best practices for design, coding, deployment, and production support. ·More...",,"$158,000 - $175,500 a year",
"Software Engineer, Full Stack","Charlie Health Engineering, Product & Design","Remote in New York, NY","  At the same time, those seeking help often encounter barriers—whether geographic, financial, or systemic—that prevent them from receiving timely and effective… ·More...",,"$158,000 - $175,500 a year",
Software Engineer,JPMorganChase,"New York, NY 10017 (Midtown area)",  Eliminate or automate remediation of recurring issues to improve overall operational stability of software applications and systems. ·More...,,"$158,000 - $175,500 a year",
Full Stack Developer,Arrow Search Partners,"New York, NY",  Work with a team of developers to design and implement new features and functionality.  The successful candidate will have a strong understanding of front-end… ·More...,,"$158,000 - $175,500 a year",
Engineering,Chapter,"New York, NY","  Our products help seniors sign up, choose an insurance plan, and leverage their plan after they are enrolled.  Enjoys collaboration and working with a tight knit… ·More...",,"$158,000 - $175,500 a year",
"Associate, Java/Scala Developer",Morgan Stanley,"New York, NY 10036 (Midtown area)","  Architect, design, and develop software in the Banking deposits space.  Work with Agile Scrum Masters and team to develop software using the Agile methodology. ·More...",,"$158,000 - $175,500 a year",
Web Developer,Cornell University,"Remote in Ithaca, NY","  No Visa Sponsorship of any kind is available for this position.  The CD team offers services on a for-fee basis, requiring monitoring and reporting on all work… ·More...",,"$158,000 - $175,500 a year",
software developer jobs in New York State,,,,,,
Senior Software Engineer,"BN, an Augeo company",Hybrid work in New York State,"  We develop innovative software solutions and look for others who like to dive deep into code, integrate with the latest social platforms, and help solve hard… ·More...",,"$120,000 - $180,000 a year",
Full Stack Engineer,Goliath Partners,"New York, NY",  Design UIs in React and JavaScript.  Backend development/ core infra in Python.  BS in CompSci or similarly related field. ·More...,,"$120,000 - $180,000 a year",
"Software Engineer, Senior",Zebra Technologies,"Hybrid work in Holtsville, NY","  Develops and tests documentation for the software projects.  We are seeking a software engineer to analyze, develop, design, and maintain software for Zebra's… ·More...",,"$120,000 - $180,000 a year",
Principal Software Engineer,Motorola Solutions,"Remote in Bay Shore, NY 11706","  The IPVideo department designs, engineers, and develops IoT based products for the safety and security industry.  Work on and improving an existing codebase. ·More...",,"$120,000 - $180,000 a year",
"Senior Software Engineer, Frontend - Accessibility",Squarespace,"Hybrid work in New York, NY","  Experience: 5-7 years in software development, with 3+ years focused on accessible solutions at the platform or framework level.  Who We're Looking for. ·More...",,"$120,000 - $180,000 a year",
Senior Backend Developer (C#),Luxoft,"New York, NY","  As a software developer in the market data team, you will be responsible for the firm's primary market data management system that supports both real-time and… ·More...",,"$120,000 - $180,000 a year",
Quantitative Developer,Arrow Search Partners,"New York, NY",  Develop analytical libraries and tools leveraging both open source and proprietary numerical software packages.  2+ years in a quantitative development role. ·More...,,"$120,000 - $180,000 a year",
Principal Software Engineer,Genentech,"New York, NY 10001",  5 + years of software engineering work experience.  1+ years experience leading a team of software engineers.  You will work closely with Prescient scientists and… ·More...,,"$120,000 - $180,000 a year",
Software Quality Assurance Engineer (Hybrid),Broadridge,"Edgewood, NY","  2+ years of experience as a software developer, QA Engineer, or SDET.  Knowledge of software engineering practices and agile approaches. ·More...",,"$120,000 - $180,000 a year",
Experienced Software Engineer - Web,Plaid,"New York, NY","  We’re a highly cross-functional group across Engineering, Product, Design, and Marketing that is looking for an engineering lead to join our team. ·More...",,"$120,000 - $180,000 a year",
Senior Fullstack Engineer (Backend) - HRIS Company Team,Rippling,"New York, NY 10007",  Commit to producing high-quality software that is delivered in incremental stages for rapid and continuous deployment. ·More...,,"$120,000 - $180,000 a year",
Application Developer Analyst 2,Metropolitan Transportation Authority,"New York, NY 10004 (Financial District area)","  Participate in the evaluation of new software development products, applications, practices and techniques.  Programming skills in MTA IT-supported languages and… ·More...",,"$120,000 - $180,000 a year",
Front End Development Lead,Avant Tech,"New York, NY","  At least 5 years of experience in leading developers and delivering a product.  Minimum Bachelor's Degree in a technical discipline, preferably computer science… ·More...",,"$120,000 - $180,000 a year",
Staff Software Engineer,Peloton,"Hybrid work in New York, NY 10011","  Instill a culture of automation, re-use and engineering efficiency through the use of software design patterns and leveraging commercial, off the shelf tools. ·More...",,"$120,000 - $180,000 a year",
Staff Software Engineer - AAA OMG,Datadog,"Hybrid work in New York, NY","  This role comes with direct influence on how we shape policies across data intake and data stores.  An example of a problem this person will solve is ""How can we… ·More...",,"$120,000 - $180,000 a year",
software developer jobs in New York State,,,,,,
Staff Software Engineer - AAA OMG,Datadog,"Hybrid work in New York, NY","  This role comes with direct influence on how we shape policies across data intake and data stores.  An example of a problem this person will solve is ""How can we… ·More...",,"$234,000 - $300,000 a year",
Founding Frontend Engineer (Growth Team),GPTZero,"Hybrid work in New York, NY","  Design robust software with comprehensive test suites and monitoring.  Jacob (Founding Full Stack), former software engineer at Affirm, University of Waterloo CS… ·More...",,"$234,000 - $300,000 a year",
Senior Software Engineer,Goliath Partners,"New York, NY","  We're working with a NYC hedge fund looking for a Full Stack Engineer (no finance experience necessary!).  0-1 design, development and implementation of web apps… ·More...",,"$234,000 - $300,000 a year",
Asset & Wealth Management -New York-Vice President-Software Engineering,Goldman Sachs,"New York, NY 10282 (Battery Park area)",  Troubleshoot and debug complex software issues.  Experience with Agile software development methodologies.  5+ years of experience in software development and… ·More...,,"$234,000 - $300,000 a year",
Software Engineer,North Point Defense,"Hybrid work in Rome, NY 13440",  Integrate software components into a fully functional software system.  Document and maintain software functionality.  Proficiency in software engineering tools. EmployerActive 7 days ago·More...,,"$234,000 - $300,000 a year",Active 7 days ago
Software Engineer,The New York Stem Cell Foundation Research...,"New York, NY","  Update, maintain, and improve the existing code and work with the team to plan the next iteration of our software.  Willing to learn and enjoy sharing knowledge. ·More...",,"$234,000 - $300,000 a year",
Software and Data Engineer,Booz Allen,"Rome, NY",  Experience with software version control and containerization.  14+ years of experience as a software engineer.  TS/SCI clearance with a polygraph. ·More...,,"$234,000 - $300,000 a year",
Report Developer - No Remote Work - No Corp-to-Corp (C2C),Magellan Solutions USA,"Albany, NY 12224",  Onsite Only – No Remote Work and No Corp-to-Corp (C2C).  Must be a US Citizen or Green Card Holder.  60 months experience developing detailed management reports… ·More...,,"$234,000 - $300,000 a year",
"Software Engineer, Senior",Booz Allen,"Rome, NY",  Experience with software and system architecture.  Ability to deploy software in a Cloud environment.  We’re looking for an experienced back-end developer with… ·More...,,"$234,000 - $300,000 a year",
Lead Software Engineer (Hybrid),Broadridge,"Edgewood, NY",  7+ years of experience in software development.  Proven knowledge or experience in software implementation lifecycle.  Experience with Java and Perl. ·More...,,"$234,000 - $300,000 a year",
"Front Office C#/.Net Developer, Associate- H/F/X",Société Générale,"Hybrid work in New York, NY 10167",  Net developer who will work with the electronic trading team.  Work with senior developers to propose designs and implement the project accordingly. ·More...,,"$234,000 - $300,000 a year",
Angular Developer,Bounteous,"New York, NY","  Our services span Strategy, Analytics, Digital Engineering, Cloud, Data & AI, Experience Design, and Marketing.  Experience in Angular-JS, micro frontends. ·More...",,"$234,000 - $300,000 a year",
Asset & Wealth Management - Quantitative Engineer -Vice President - New York,Goldman Sachs,"New York, NY 10282 (Battery Park area)","  Participate in the complete software life cycle using various Software Development Life Cycle (SDLC) tools.  Experience working with design patterns, prototyping… ·More...",,"$234,000 - $300,000 a year",
